y,x,osmid,highway,geometry
55.6739848,12.5629057,118725,,POINT (12.5629057 55.6739848)
55.6739156,12.5830867,125401,,POINT (12.5830867 55.6739156)
55.6776986,12.4899377,662931,,POINT (12.4899377 55.6776986)
55.6806315,12.5617582,706331,,POINT (12.5617582 55.6806315)
55.6555385,12.5378918,791989,traffic_signals,POINT (12.5378918 55.6555385)
55.6668742,12.4861661,792937,traffic_signals,POINT (12.4861661 55.6668742)
55.6653774,12.4842938,792938,,POINT (12.4842938 55.6653774)
55.678592,12.4852439,2370741,,POINT (12.4852439 55.678592)
55.6724914,12.5912199,6504010,traffic_signals,POINT (12.5912199 55.6724914)
55.6712457,12.5936289,6504013,,POINT (12.5936289 55.6712457)
55.6833774,12.562608,6542970,,POINT (12.562608 55.6833774)
55.6831034,12.5662063,7235698,traffic_signals,POINT (12.5662063 55.6831034)
55.6860571,12.5492949,7235738,,POINT (12.5492949 55.6860571)
55.6944439,12.5301823,7427946,traffic_signals,POINT (12.5301823 55.6944439)
55.6953372,12.5311073,7481829,,POINT (12.5311073 55.6953372)
55.7165786,12.5710523,7493326,,POINT (12.5710523 55.7165786)
55.7166806,12.5719911,7493327,,POINT (12.5719911 55.7166806)
55.686548,12.5495281,7646340,,POINT (12.5495281 55.686548)
55.6826022,12.5321283,7786946,traffic_signals,POINT (12.5321283 55.6826022)
55.6847105,12.5400253,7786958,,POINT (12.5400253 55.6847105)
55.6849394,12.5401852,7786970,,POINT (12.5401852 55.6849394)
55.6909119,12.5233353,7804650,,POINT (12.5233353 55.6909119)
55.6913704,12.5217812,7804651,,POINT (12.5217812 55.6913704)
55.6901762,12.5259113,7804668,,POINT (12.5259113 55.6901762)
55.6896786,12.5275153,7804670,,POINT (12.5275153 55.6896786)
55.6853492,12.567291,7846717,,POINT (12.567291 55.6853492)
55.6905184,12.524669,8078411,,POINT (12.524669 55.6905184)
55.6921968,12.5278222,8078413,,POINT (12.5278222 55.6921968)
55.7115947,12.5570242,8082267,,POINT (12.5570242 55.7115947)
55.6750729,12.5799518,8089418,,POINT (12.5799518 55.6750729)
55.6728524,12.5933555,8099302,,POINT (12.5933555 55.6728524)
55.6711313,12.5905403,8099305,,POINT (12.5905403 55.6711313)
55.6716125,12.5929224,8099321,traffic_signals,POINT (12.5929224 55.6716125)
55.6549441,12.5959538,8214785,,POINT (12.5959538 55.6549441)
55.6828458,12.5643659,8310702,,POINT (12.5643659 55.6828458)
55.6823714,12.5637976,8310703,,POINT (12.5637976 55.6823714)
55.6818672,12.565201,8310704,,POINT (12.565201 55.6818672)
55.6855921,12.564819,8463259,,POINT (12.564819 55.6855921)
55.6846627,12.5664766,8463260,,POINT (12.5664766 55.6846627)
55.684215,12.5673292,8463261,traffic_signals,POINT (12.5673292 55.684215)
55.6865214,12.5544179,8468150,,POINT (12.5544179 55.6865214)
55.670692,12.5913667,8473326,,POINT (12.5913667 55.670692)
55.670142,12.5904968,8473329,,POINT (12.5904968 55.670142)
